Country Name,Country Code,Year,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population)_scaled,Population growth (annual %)_scaled,People using safely managed sanitation services (% of population)_scaled,Access to electricity (% of population)_scaled,People using at least basic drinking water services (% of population)_scaled,Population living in slums (% of urban population)_scaled,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)_scaled",GDP growth (annual %)_scaled,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita)_scaled,"Population, total_scaled","Life expectancy at birth, total (years)_scaled",GDP per capita (current US$)_scaled
Lebanon,LBN,2014,,0.645822597442633,0.237883002235164,0.996975806451613,0.8840648813609984,0.04508754197149185,0.3601550767721965,0.39058869815230335,0.34826482963327304,-0.20365953645718232,0.8252186212373299,0.19262445464161007
Cuba,CUB,2010,,0.34426786828774386,0.42392285078301,0.9778225806451613,0.9149057902191406,0.05309639195461909,0.48626988261975534,0.38994453933931644,-0.019708902594769387,-0.1657493108466804,0.7942717581898542,-0.03659073838591779
Marshall Islands,MHL,2002,,0.3613650268871234,,0.7127016129032258,0.8623105868189149,0.022042798297173795,,0.3985058298284551,-1.3577731445842158,-0.2518708675577577,-0.8017671933910414,-0.4915569479752981
Bhutan,BTN,2014,,0.3761795589429774,0.47864420836048704,0.9133064516129032,0.9582597346383539,0.522948256334499,0.605580924944068,0.413940261756105,-0.36527489457648543,-0.2466503131881503,-0.04447925058219867,-0.4253676186611524
Ecuador,ECU,2021,0.05584826132771338,0.36697109867601524,0.41804536217388705,1.0,0.9468504319201336,,0.6420515492353426,0.43828019872621704,-0.09599955138785551,-0.11685274340800356,0.21060481909589876,0.05153684354710946
Georgia,GEO,2014,0.12644889357218125,0.3449678805075501,0.30647445592209305,1.0,0.9199388363244623,0.09398217579251876,0.6835330534187378,0.4016314957021358,0.02461701500273084,-0.22378146936200113,0.25145012730929733,-0.09190783203766016
Sudan,SDN,2007,,0.41565025567960256,,0.3054435483870968,0.36112689424396155,,0.3941125992215513,0.4129379374453918,-0.9683949058754423,-0.001357483452104839,-1.0755104010830596,-0.8545744897712036
Denmark,DNK,2015,0.002107481559536354,0.3649173673007964,0.97340865611524,1.0,1.0,,0.5872383462563975,0.38797896877464116,0.721435615484597,-0.20874066192638954,1.115850513336351,1.4229648769864656
Portugal,PRT,2019,0.002107481559536354,0.34426544489944716,0.913154864791908,1.0,0.9904030006586968,,0.5504612461307424,0.39238713792871865,0.47172839166922953,-0.17349264994285724,1.226573238909739,0.9036352193174242
Burkina Faso,BFA,2020,,0.4172151063736636,0.0916008163277577,0.17842741935483872,0.3671855505299629,0.26601900249524474,0.43576266511385564,0.38733526274700736,-1.1133113912725947,-0.08778123183883954,-1.187920330093747,-1.2080130109893628
